Cabinet_Id,Address,Postcode,Attributes,State,PhoneNumber,id
08823423X1,"  1 JAMES SCHOFIELD DRV , ADELAIDE AIRPORT",5950,"Coin and Card Payphone,Incoming Calls",SA," PH:0882344850",161267
08823419X1,"  1 JAMES SCHOFIELD DRV , ADELAIDE AIRPORT",5950,"Coin and Card Payphone,Incoming Calls",SA," PH:0882344235",161268
08952410X1,"LOT 192 0 LEARY RD BP TRAVELSTOP EAST, BALDIVIS",6171,"Coin and Card Payphone,Incoming Calls",WA," PH:0895241956",161269
02979006X2,"  307 CHAPEL RD , BANKSTOWN",2200,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot,ADSL",NSW," PH:0297901607",161270
02997508X2,"  33 TRAMORE PL O/S SHOPS, KILLARNEY HEIGHTS",2087,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0299756502",161271
02936509X2,"  32 FLETCHER ST , BONDI",2026,"Coin and Card Payphone,Incoming Calls",NSW," PH:0293655106",161272
02936506X2,"  32 FLETCHER ST , BONDI",2026,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0293655103",161273
02678513X2,"  1 SKI GARDENS RD SKI GARDENS, RUSHES CREEK",2346,"Coin and Card Payphone,Incoming Calls",NSW," PH:0267851401",161274
07406991X2,"  0 HIBBERD DRV O/S LIBRARY, ROCKY POINT",4874,"Coin and Card Payphone,Incoming Calls",QLD," PH:0740699509",161275
02462511X2,"  83 NORTH STEYNE RD NEIGHBOURHOOD STOR, WOODBINE",2560,"Coin and Card Payphone,Incoming Calls",NSW," PH:0246257765",161276
03627204X2,"  4 TWELFTH AVE NR SECOND AVE, WEST MOONAH",7009,"Coin and Card Payphone,Incoming Calls",TAS," PH:0362724148",161277
02484800X2,"LOT 195 0 CHURCH ST NR BUS STOP, COLLECTOR",2581,"Coin and Card Payphone,Incoming Calls",NSW," PH:0248480009",161278
02881401X1,"  2 SENTRY DRV STANHOPE VILLAGE, STANHOPE GARDENS",2768,"Coin and Card Payphone,Incoming Calls",NSW," PH:0288141397",161279
02629502X1,"  0 BURKE CRS CANBERRA RLWY STN, KINGSTON",2604,"Coin and Card Payphone,Incoming Calls",NSW," PH:0262951309",161280
03974424X2,"  1 DORNOCH DRV GOONAWARRA MEDICAL, SUNBURY",3429,"Coin and Card Payphone,Incoming Calls",VIC," PH:0397441951",161281
02483520X2,"  23 BINDA ST NR MULGOWRIE ST, BIGGA",2583,"Coin and Card Payphone,Incoming Calls",NSW," PH:0248352200",161282
02622701X2,"  37 FITZROY ST CRN WELLINGTON ST, BINALONG",2584,"Coin and Card Payphone,Incoming Calls",NSW," PH:0262274201",161283
02645630X2,"  74 JINDABYNE RD CRN HIGHDALE ST, BERRIDALE",2628,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264563105",161284
02645852X2,"  6 BURNIMA ST OS COMMUNITY HALL, BIBBENLUKE",2632,"Coin and Card Payphone,Incoming Calls",NSW," PH:0264585241",161285
